time_ms,acc,accR,gyro,gyroR,roll,pitch,yaw,pressure,dp_hpa,state,event
72,2.15,0.00,197.63,0.00,0.3,2.9,-175.1,1009.39,0.000,0,0
114,4.49,2.34,23.36,174.26,-0.9,1.4,-175.1,1009.37,-0.020,0,0
158,6.91,4.76,15.48,182.15,-0.7,0.9,-175.1,1009.36,-0.010,0,0
201,9.33,7.18,13.62,184.01,-0.7,0.7,-175.0,1009.40,0.040,0,0
244,9.60,7.45,14.67,184.01,-0.8,-0.0,-175.0,1009.40,0.000,0,0
286,9.67,7.52,15.45,184.01,-0.5,-0.0,-175.0,1009.45,0.050,0,0
329,9.67,7.52,15.06,184.01,-0.5,-0.0,-175.1,1009.34,-0.110,0,0
371,9.66,7.52,14.36,184.01,-0.5,-0.0,-175.2,1009.44,0.100,0,0
414,9.66,7.52,15.85,184.01,-0.5,-0.0,-175.2,1009.37,-0.070,0,0
457,9.65,7.52,13.79,184.01,-0.6,0.1,-175.0,1009.39,0.020,0,0
501,9.61,5.18,25.22,11.61,-0.6,0.1,-175.2,1009.45,0.060,0,0
544,9.58,2.76,21.92,11.61,-0.6,-0.0,-174.9,1009.42,-0.030,0,0
587,9.70,0.37,42.12,28.50,-1.0,0.5,-175.0,1009.46,0.040,0,0
630,10.56,0.97,1164.66,1150.87,-0.7,0.7,-175.4,1009.28,-0.180,0,0
675,10.84,1.26,2391.02,2377.24,0.9,-0.6,-176.5,1009.38,0.100,0,0
719,11.24,1.65,1896.97,2377.24,3.0,-4.2,-177.5,1009.47,0.090,0,0
764,11.75,2.16,2505.32,2491.53,3.5,-8.6,-177.7,1009.35,-0.120,0,0
808,11.16,2.16,3536.63,3522.84,5.0,-19.1,-178.0,1009.41,0.060,0,0
853,11.02,2.16,2215.25,3522.84,4.7,-31.0,-177.0,1009.39,-0.020,0,0
898,10.79,2.16,2176.90,3514.71,4.2,-42.2,-175.7,1009.38,-0.010,0,0
944,10.53,2.16,2164.04,3514.71,4.3,-56.7,-174.9,1009.37,-0.010,0,0
989,10.11,2.05,1779.01,3494.51,4.6,-68.2,-173.1,1009.43,0.060,0,0
1034,9.67,2.08,1511.32,2371.97,4.5,-76.0,-171.6,1009.35,-0.080,0,0
1079,9.09,2.66,890.42,2646.21,4.3,-83.0,-170.7,1009.36,0.010,0,0
1124,8.25,3.50,607.07,2929.56,6.8,-83.1,-170.2,1009.34,-0.020,0,0
1169,7.55,4.20,288.93,3247.70,6.4,-82.3,-170.0,1009.36,0.020,0,0
1214,6.87,4.29,203.68,3332.95,6.6,-79.3,-169.6,1009.40,0.040,0,0
1259,6.59,4.43,68.31,2146.94,6.5,-77.0,-169.4,1009.35,-0.050,0,0
1304,6.68,4.20,247.04,2108.60,5.6,-76.8,-169.3,1009.40,0.050,0,0
1348,6.44,4.09,421.32,2095.73,6.4,-75.5,-169.3,1009.38,-0.020,0,0
1393,5.90,4.21,647.23,1710.71,6.5,-75.4,-169.4,1009.47,0.090,1,0
1438,4.20,5.47,2647.65,2579.34,6.4,-76.0,-170.9,1009.43,-0.040,1,0
1483,2.51,6.58,3626.83,3558.52,5.8,-72.8,-173.5,1009.35,-0.080,1,0
1529,1.01,7.25,3895.18,3826.87,7.8,-66.2,-174.7,1009.31,-0.040,1,0
1574,3.87,6.54,10747.30,10678.99,30.3,-59.5,-175.9,1009.36,0.050,1,0
1620,3.90,5.87,12638.16,12569.85,22.9,-57.9,-172.3,1009.40,0.040,0,1
1665,3.46,5.67,2913.61,12569.85,28.6,-61.4,-173.9,1009.42,0.020,0,0
1711,2.44,5.67,5685.59,12391.12,14.0,-32.1,-175.3,1009.46,0.040,0,0
1756,3.36,5.43,2352.56,12216.84,-22.1,36.3,-173.7,1009.36,-0.100,0,0
1801,6.09,5.08,3221.86,11990.93,3.0,36.2,-174.2,1009.47,0.110,0,0
1846,5.68,5.08,1639.76,10998.40,2.0,34.9,-174.5,1009.42,-0.050,0,0
1890,4.29,5.08,865.72,11772.44,13.9,16.5,-174.8,1009.32,-0.100,0,0
1935,6.27,5.27,435.10,12203.05,6.1,5.9,-174.9,1009.43,0.110,0,0
1980,7.33,4.89,18.86,12619.30,-3.4,-7.5,-175.1,1009.29,-0.140,0,0
2024,8.62,6.18,15.06,12623.10,-3.3,-6.1,-175.0,1009.39,0.100,0,0
2068,9.89,7.45,15.12,5670.53,-2.2,-3.9,-175.0,1009.35,-0.040,0,0
2112,9.65,7.45,15.06,5670.53,-0.3,0.3,-174.9,1009.45,0.100,0,0
2156,9.64,6.53,15.06,3206.79,-0.5,-0.0,-174.9,1009.44,-0.010,0,0
2199,9.65,5.60,15.06,3206.79,-0.4,-0.0,-175.0,1009.36,-0.080,0,0
2241,9.65,5.60,15.45,1624.70,-0.4,-0.0,-174.8,1009.29,-0.070,0,0
